State,year,adult_pop,ins_employer,ins_direct,ins_medicare,ins_medicaid,uninsured,expand_ever,expand_year,expand
New Jersey,2015,5553122.0,3531262.0,389919.0,58931.0,580781.0,679315.0,True,2014.0,True
New Mexico,2015,1226223.0,539547.0,84894.0,18880.0,252315.0,198242.0,True,2014.0,True
New York,2015,12481696.0,7111884.0,876393.0,122755.0,2178008.0,1253516.0,True,2014.0,True
North Carolina,2015,6099130.0,3205510.0,693608.0,92082.0,451201.0,996399.0,True,2014.0,True
North Dakota,2015,468080.0,287821.0,60149.0,3029.0,22989.0,43584.0,True,2014.0,True
Ohio,2015,7045089.0,4312848.0,449934.0,115818.0,977407.0,622066.0,True,2014.0,True
Oklahoma,2015,2313940.0,1236880.0,202718.0,46814.0,142719.0,458388.0,True,2014.0,True
Oregon,2015,2481134.0,1326353.0,243675.0,28125.0,393228.0,246724.0,True,2014.0,True
Pennsylvania,2015,7812487.0,4897047.0,719198.0,90831.0,787062.0,680862.0,True,2014.0,True
Rhode Island,2015,667050.0,391854.0,56697.0,6168.0,98147.0,51477.0,True,2014.0,True
South Carolina,2015,2938107.0,1580977.0,251958.0,49943.0,249327.0,475511.0,False,,False
South Dakota,2015,504714.0,288133.0,62284.0,4814.0,23088.0,71572.0,True,2014.0,True
Tennessee,2015,4017067.0,2167559.0,361742.0,79767.0,392963.0,600727.0,False,,False
Texas,2015,16657157.0,8918734.0,1440845.0,200185.0,918517.0,3873285.0,False,,False
Utah,2015,1757716.0,1115081.0,192389.0,11671.0,70081.0,242296.0,True,2014.0,True
Vermont,2015,393856.0,229413.0,32222.0,4711.0,68289.0,22406.0,True,2014.0,True
Virginia,2015,5133209.0,3020861.0,483691.0,68929.0,247081.0,644682.0,True,2014.0,True
Washington,2015,4440161.0,2562936.0,409055.0,47355.0,536953.0,418445.0,True,2014.0,True
West Virginia,2015,1109345.0,591777.0,59898.0,28519.0,214197.0,96912.0,True,2014.0,True
Wisconsin,2015,3535927.0,2306460.0,303628.0,31426.0,340075.0,273369.0,False,,False
Wyoming,2015,357200.0,214102.0,37219.0,2529.0,13913.0,55394.0,False,,False
Alabama,2016,2921503.0,1606132.0,267663.0,64794.0,210688.0,404855.0,,2014.0,True
Alaska,2016,457184.0,237462.0,25621.0,2343.0,42176.0,81387.0,True,2014.0,True
Arizona,2016,4036165.0,2077734.0,361619.0,49321.0,647091.0,554091.0,True,2014.0,True
Arkansas,2016,1757516.0,901078.0,165878.0,40440.0,246660.0,204066.0,True,2014.0,True
California,2016,24431848.0,12951851.0,2409125.0,230964.0,4529147.0,2521235.0,True,2014.0,True
Colorado,2016,3461702.0,1984229.0,354955.0,33270.0,420114.0,353834.0,True,2014.0,True
Connecticut,2016,2217434.0,1391256.0,195772.0,22122.0,312147.0,148754.0,True,2014.0,True
Delaware,2016,571596.0,349334.0,42203.0,9011.0,78333.0,45282.0,True,2014.0,True
Florida,2016,12137388.0,5885881.0,1688597.0,185504.0,1037770.0,2234427.0,False,,False
Georgia,2016,6284159.0,3421761.0,606378.0,88590.0,384633.0,1134011.0,False,,False
Hawaii,2016,832435.0,518667.0,55268.0,6508.0,96339.0,40950.0,True,2014.0,True
Idaho,2016,974803.0,531287.0,132530.0,9486.0,54716.0,145700.0,True,2014.0,True
Illinois,2016,7892615.0,4832555.0,706700.0,83264.0,1005611.0,729815.0,True,2014.0,True
Indiana,2016,4003711.0,2467830.0,315919.0,64521.0,387034.0,432020.0,True,2014.0,True
Iowa,2016,1875205.0,1201461.0,178496.0,13122.0,197428.0,112350.0,True,2014.0,True
Kansas,2016,1718393.0,1046913.0,180245.0,21114.0,76240.0,215770.0,False,,False
Kentucky,2016,2679027.0,1458130.0,178732.0,62889.0,495818.0,189249.0,True,2014.0,True
Louisiana,2016,2807699.0,1435742.0,259789.0,54487.0,345175.0,433797.0,True,2014.0,True
Maine,2016,812942.0,462152.0,81088.0,9828.0,77388.0,94113.0,True,2014.0,True
Maryland,2016,3721766.0,2312199.0,306286.0,38470.0,399053.0,310249.0,True,2014.0,True
Massachusetts,2016,4324702.0,2717779.0,330604.0,26038.0,722441.0,154861.0,True,2014.0,True
Michigan,2016,6059622.0,3577857.0,497331.0,75336.0,905329.0,459651.0,True,2014.0,True
Minnesota,2016,3375664.0,2180323.0,311557.0,31692.0,414553.0,180240.0,True,2014.0,True
Mississippi,2016,1766560.0,901806.0,143900.0,35563.0,166642.0,312179.0,False,,False
Missouri,2016,3653174.0,2211967.0,355810.0,74728.0,218096.0,466927.0,True,2014.0,True
Montana,2016,620433.0,324131.0,81312.0,7235.0,61879.0,72426.0,True,2014.0,True
Nebraska,2016,1131791.0,706612.0,132856.0,8555.0,44497.0,135759.0,True,2014.0,True
Nevada,2016,1791813.0,975235.0,143454.0,20469.0,209760.0,277884.0,True,2014.0,True
New Hampshire,2016,839099.0,552404.0,71248.0,13862.0,63132.0,70776.0,True,2014.0,True
New Jersey,2016,5525116.0,3540830.0,413274.0,60251.0,566470.0,617691.0,True,2014.0,True
New Mexico,2016,1220748.0,548478.0,86446.0,19242.0,269799.0,158900.0,True,2014.0,True
New York,2016,12399261.0,7029603.0,953513.0,112287.0,2257340.0,1057074.0,True,2014.0,True
North Carolina,2016,6138694.0,3290843.0,675566.0,99382.0,460457.0,929236.0,True,2014.0,True
North Dakota,2016,463456.0,291730.0,55472.0,2994.0,27674.0,38237.0,True,2014.0,True
Ohio,2016,7018306.0,4297627.0,469765.0,117470.0,1026345.0,541645.0,True,2014.0,True
Oklahoma,2016,2316676.0,1224531.0,215347.0,49137.0,145473.0,456273.0,True,2014.0,True
Oregon,2016,2509060.0,1385777.0,243183.0,25821.0,395226.0,218953.0,True,2014.0,True
Pennsylvania,2016,7772430.0,4792755.0,712737.0,101088.0,917377.0,582107.0,True,2014.0,True
Rhode Island,2016,665476.0,387373.0,66365.0,9781.0,91829.0,40640.0,True,2014.0,True
South Carolina,2016,2951505.0,1575547.0,282845.0,53356.0,249659.0,439521.0,False,,False
South Dakota,2016,504919.0,291530.0,59752.0,4582.0,24796.0,64445.0,True,2014.0,True
Tennessee,2016,4029585.0,2191680.0,363842.0,69482.0,438364.0,534785.0,False,,False
Texas,2016,16843883.0,9061923.0,1526130.0,186726.0,922702.0,3816473.0,False,,False
Utah,2016,1789836.0,1163914.0,195966.0,11888.0,80211.0,208853.0,True,2014.0,True
Vermont,2016,389462.0,221536.0,35361.0,3496.0,68942.0,20983.0,True,2014.0,True
Virginia,2016,5134008.0,3027131.0,491859.0,66409.0,243505.0,615990.0,True,2014.0,True
Washington,2016,4497648.0,2639732.0,387035.0,44321.0,570332.0,380054.0,True,2014.0,True
West Virginia,2016,1091444.0,568314.0,54196.0,24949.0,221680.0,87568.0,True,2014.0,True
Wisconsin,2016,3522518.0,2294678.0,310148.0,31706.0,336080.0,252268.0,False,,False
Wyoming,2016,350428.0,208666.0,34619.0,3138.0,14863.0,53672.0,False,,False
Alabama,2017,2841107.0,1560958.0,232800.0,65309.0,208743.0,409792.0,,2014.0,True
Alaska,2017,440283.0,211239.0,21612.0,2654.0,56350.0,78092.0,True,2014.0,True
Arizona,2017,3989659.0,2118735.0,311379.0,51031.0,595829.0,552075.0,True,2014.0,True
Arkansas,2017,1717192.0,873159.0,151195.0,40648.0,239496.0,197155.0,True,2014.0,True
California,2017,24069284.0,13033901.0,2324634.0,235939.0,4350739.0,2438383.0,True,2014.0,True
Colorado,2017,3421064.0,1968563.0,336125.0,29423.0,415433.0,350903.0,True,2014.0,True
Connecticut,2017,2164155.0,1347265.0,181849.0,21910.0,297239.0,165397.0,True,2014.0,True
Delaware,2017,559655.0,356274.0,37356.0,7945.0,61209.0,41996.0,True,2014.0,True
Florida,2017,12081518.0,5954573.0,1613271.0,179089.0,919725.0,2301959.0,False,,False
Georgia,2017,6198581.0,3446687.0,546179.0,86292.0,345615.0,1165279.0,False,,False
Hawaii,2017,802826.0,498969.0,51823.0,4590.0,89191.0,44503.0,True,2014.0,True
Idaho,2017,964996.0,537925.0,114461.0,8579.0,54562.0,149739.0,True,2014.0,True
Illinois,2017,7669234.0,4741334.0,629249.0,90975.0,957705.0,751802.0,True,2014.0,True
Indiana,2017,3910354.0,2441346.0,278295.0,57472.0,380237.0,424934.0,True,2014.0,True
Iowa,2017,1825767.0,1191259.0,163074.0,13329.0,180453.0,120075.0,True,2014.0,True
Kansas,2017,1671821.0,1041967.0,150802.0,19152.0,72044.0,208627.0,False,,False
Kentucky,2017,2607164.0,1431970.0,161676.0,60688.0,479985.0,192671.0,True,2014.0,True
Louisiana,2017,2729961.0,1387475.0,215347.0,46934.0,445036.0,343373.0,True,2014.0,True
Maine,2017,790011.0,452782.0,75809.0,9109.0,65702.0,93127.0,True,2014.0,True
Maryland,2017,3659877.0,2312288.0,270517.0,37991.0,400427.0,303845.0,True,2014.0,True
Massachusetts,2017,4235243.0,2680207.0,326278.0,27393.0,694668.0,163857.0,True,2014.0,True
Michigan,2017,5913860.0,3588070.0,437652.0,69029.0,863426.0,433147.0,True,2014.0,True
Minnesota,2017,3317065.0,2196551.0,242850.0,31456.0,401675.0,192986.0,True,2014.0,True
Mississippi,2017,1705865.0,869484.0,136339.0,31861.0,142797.0,312984.0,False,,False
Missouri,2017,3561566.0,2168093.0,315799.0,70523.0,212685.0,469272.0,True,2014.0,True
Montana,2017,610502.0,322373.0,75447.0,6356.0,71006.0,72773.0,True,2014.0,True
Nebraska,2017,1109152.0,704285.0,118254.0,9961.0,44490.0,129209.0,True,2014.0,True
Nevada,2017,1788916.0,1012006.0,126079.0,24223.0,207873.0,269150.0,True,2014.0,True
New Hampshire,2017,821660.0,551823.0,63415.0,13253.0,61319.0,69718.0,True,2014.0,True
New Jersey,2017,5431362.0,3500475.0,402761.0,65171.0,541496.0,595436.0,True,2014.0,True
New Mexico,2017,1186640.0,519838.0,79330.0,22053.0,267680.0,156958.0,True,2014.0,True
New York,2017,12138390.0,6967505.0,922025.0,111793.0,2205236.0,973576.0,True,2014.0,True
North Carolina,2017,6030609.0,3312056.0,594817.0,94860.0,434341.0,950074.0,True,2014.0,True
North Dakota,2017,447988.0,285275.0,52775.0,3082.0,24446.0,41473.0,True,2014.0,True
